program,sequence_id,pass_sequence,execution_time,binary_size,feature_total_instructions,feature_total_basic_blocks,feature_total_lines,feature_num_functions,feature_num_declarations,feature_total_function_calls,feature_num_br,feature_num_conditional_br,feature_num_unconditional_br,feature_num_switch,feature_num_select,feature_num_icmp,feature_num_fcmp,feature_num_ret,feature_num_phi,feature_num_load,feature_num_store,feature_num_alloca,feature_num_getelementptr,feature_num_ptrtoint,feature_num_inttoptr,feature_num_memcpy,feature_num_memset,feature_num_memmove,feature_num_add,feature_num_sub,feature_num_mul,feature_num_div,feature_num_rem,feature_num_fadd,feature_num_fsub,feature_num_fmul,feature_num_fdiv,feature_num_and,feature_num_or,feature_num_xor,feature_num_shl,feature_num_shr,feature_estimated_loops,feature_num_back_edges,feature_num_direct_calls,feature_num_indirect_calls,feature_num_tail_calls,feature_uses_i1,feature_uses_i8,feature_uses_i32,feature_uses_i64,feature_uses_float,feature_uses_double,feature_uses_ptr,feature_uses_array,feature_uses_vector,feature_cyclomatic_complexity,feature_avg_block_size,feature_memory_intensity,feature_branch_intensity,feature_arithmetic_intensity,feature_call_intensity,feature_phi_ratio,feature_load_store_ratio,machine_m,machine_a,machine_f,machine_d,machine_c,machine_lui-addi-fusion,machine_zba,machine_auipc-addi-fusion,machine_zcmp,machine_zbs,machine_zbb,machine_ld-add-fusion,machine_zbc,machine_zcb,machine_relocation-model,machine_O,machine_relax,machine_code-model,machine_conditional-cmv-fusion,machine_no-optimized-zero-stride-load,machine_fast-unaligned-access,machine_zcmt,machine_v
01_insertion_sort,7,globalopt loop-unroll-and-jam lower-constant-intrinsics globaldce early-cse ipsccp gvn break-crit-edges break-crit-edges tailcallelim,1.5513529059990105,561456,80,13,197,2,6,8,13,4,9,0,0,4,0,2,1,34,18,12,6,0,0,0,0,0,4,3,1,0,1,0,0,0,1,0,0,0,0,0,1,17,8,0,0,5,1,91,28,0,6,0,1,0,4,6.153846153846154,0.65,0.1625,0.1,0.1,0.07692307692307693,1.8888888888888888,True,True,True,True,True,,False,,,True,,False,,,,,True,,,,True,,
09_lu_decomposition,2,strip-dead-prototypes jump-threading globalopt globalopt adce ipsccp lower-matrix-intrinsics globaldce,0.33492665700032376,561464,260,39,499,2,8,20,39,10,29,0,0,10,0,2,0,125,42,23,30,0,0,0,0,0,9,1,4,0,1,1,2,0,3,0,0,0,0,0,0,49,20,0,0,10,1,187,93,0,60,0,1,0,4,6.666666666666667,0.6423076923076924,0.15,0.05384615384615385,0.07692307692307693,0.0,2.9761904761904763,True,True,True,True,True,,,,,False,,,,False,,,,,False,,,,
09_lu_decomposition,6,lower-matrix-intrinsics lower-constant-intrinsics annotation-remarks,0.3438037310006621,561488,260,39,499,2,8,20,39,10,29,0,0,10,0,2,0,125,42,23,30,0,0,0,0,0,9,1,4,0,1,1,2,0,3,0,0,0,0,0,0,49,20,0,0,10,1,187,93,0,60,0,1,0,4,6.666666666666667,0.6423076923076924,0.15,0.05384615384615385,0.07692307692307693,0.0,2.9761904761904763,True,True,True,True,True,,True,False,,True,False,,,,pic,,False,,,True,,False,
100_adler32,7,function-attrs inline mem2reg indvars,0.6120494979986688,556416,113,22,283,4,4,8,22,6,16,0,0,6,0,4,1,46,38,23,3,0,0,0,0,0,10,2,1,0,4,0,0,0,1,1,2,1,2,0,1,28,8,0,0,6,11,89,71,0,6,0,2,0,8,5.136363636363637,0.7433628318584071,0.19469026548672566,0.11504424778761062,0.07079646017699115,0.045454545454545456,1.2105263157894737,True,True,True,True,True,True,True,True,,,,,False,,,,,,,,,,
06_floyd_warshall,0,adce gvn adce mergereturn,0.5979235989998415,561544,173,45,397,2,4,7,45,14,31,0,0,14,0,2,0,69,30,16,26,0,0,0,0,0,12,1,0,0,2,0,0,0,1,0,0,0,0,0,0,59,7,0,0,14,1,197,80,0,6,0,34,0,4,3.8444444444444446,0.5722543352601156,0.26011560693641617,0.07514450867052024,0.04046242774566474,0.0,2.3,True,True,True,True,True,,,,,True,,,True,,pic,,True,,False,,True,,
06_floyd_warshall,1,deadargelim loop-unroll ipsccp loop-simplify break-crit-edges ipsccp partial-inliner reassociate adce,0.6118338460000814,561520,173,45,397,2,4,7,45,14,31,0,0,14,0,2,0,69,30,16,26,0,0,0,0,0,12,1,0,0,2,0,0,0,1,0,0,0,0,0,0,59,7,0,0,14,1,197,80,0,6,0,34,0,4,3.8444444444444446,0.5722543352601156,0.26011560693641617,0.07514450867052024,0.04046242774566474,0.0,2.3,True,True,True,True,True,True,,True,,,,False,,,,1,,,,,,,
06_floyd_warshall,4,dce instsimplify gvn,0.6049344229995768,561528,173,45,397,2,4,7,45,14,31,0,0,14,0,2,0,69,30,16,26,0,0,0,0,0,12,1,0,0,2,0,0,0,1,0,0,0,0,0,0,59,7,0,0,14,1,197,80,0,6,0,34,0,4,3.8444444444444446,0.5722543352601156,0.26011560693641617,0.07514450867052024,0.04046242774566474,0.0,2.3,True,True,True,True,True,,,True,,,,,True,False,,2,False,,False,,,False,
06_floyd_warshall,5,partial-inliner reassociate correlated-propagation mergereturn consthoist argpromotion jump-threading argpromotion loop-deletion dce reassociate correlated-propagation lowerswitch ipsccp,0.6297812649991101,561544,173,45,397,2,4,7,45,14,31,0,0,14,0,2,0,69,30,16,26,0,0,0,0,0,12,1,0,0,2,0,0,0,1,0,0,0,0,0,0,59,7,0,0,14,1,197,80,0,6,0,34,0,4,3.8444444444444446,0.5722543352601156,0.26011560693641617,0.07514450867052024,0.04046242774566474,0.0,2.3,True,True,True,True,True,False,,,,True,True,,,False,pic,,,,,,,,
06_floyd_warshall,6,globaldce adce memcpyopt sccp lowerswitch lower-matrix-intrinsics consthoist globalopt lower-expect sccp elim-avail-extern partial-inliner dse lower-constant-intrinsics annotation-remarks,0.6566981529995246,561704,173,45,397,2,4,7,45,14,31,0,0,14,0,2,0,69,30,16,26,0,0,0,0,0,12,1,0,0,2,0,0,0,1,0,0,0,0,0,0,59,7,0,0,14,1,197,80,0,6,0,34,0,4,3.8444444444444446,0.5722543352601156,0.26011560693641617,0.07514450867052024,0.04046242774566474,0.0,2.3,True,True,True,True,True,,True,True,False,,,,,,,,,,,,True,False,True
101_murmur_hash,4,memcpyopt break-crit-edges lower-constant-intrinsics break-crit-edges reassociate consthoist break-crit-edges slp-vectorizer correlated-propagation adce mem2reg tailcallelim break-crit-edges dce lower-expect,0.46685120099937194,556416,193,28,406,4,4,13,27,6,21,1,0,6,0,4,0,81,57,28,10,0,0,0,0,0,8,2,9,1,0,0,0,0,1,2,1,10,3,4,0,37,13,0,0,6,25,215,49,0,6,0,2,0,7,6.892857142857143,0.7150259067357513,0.13989637305699482,0.10362694300518134,0.06735751295336788,0.0,1.4210526315789473,True,True,True,True,True,True,,,,,,False,True,,,,,,,False,,,
101_murmur_hash,5,reassociate indvars loop-rotate loop-deletion reassociate jump-threading loop-vectorize dce,0.456433510998977,556576,193,28,406,4,4,13,27,6,21,1,0,6,0,4,0,81,57,28,10,0,0,0,0,0,8,2,9,1,0,0,0,0,1,2,1,10,3,4,0,37,13,0,0,6,25,215,49,0,6,0,2,0,7,6.892857142857143,0.7150259067357513,0.13989637305699482,0.10362694300518134,0.06735751295336788,0.0,1.4210526315789473,True,True,True,True,True,,,,,False,,,,,,,,,,,False,,True
101_murmur_hash,8,elim-avail-extern sccp lower-constant-intrinsics inline lower-expect instcombine loop-deletion div-rem-pairs,0.4570300880004652,556440,193,28,406,4,4,13,27,6,21,1,0,6,0,4,0,81,57,28,10,0,0,0,0,0,8,2,9,1,0,0,0,0,1,2,1,10,3,4,0,37,13,0,0,6,25,215,49,0,6,0,2,0,7,6.892857142857143,0.7150259067357513,0.13989637305699482,0.10362694300518134,0.06735751295336788,0.0,1.4210526315789473,True,True,True,True,True,True,False,,False,,True,,,True,static,,,,,,,False,False
107_bridges_tarjan,3,partial-inliner memcpyopt loop-vectorize dce always-inline slp-vectorizer loop-unroll sccp,0.010796926999319112,556816,242,29,480,7,4,18,29,11,18,0,0,11,0,7,1,100,54,34,46,0,0,4,4,0,10,1,2,0,2,0,0,0,1,0,0,0,0,0,1,40,18,0,0,19,6,321,105,0,6,0,39,0,14,8.344827586206897,0.6363636363636364,0.11983471074380166,0.05371900826446281,0.0743801652892562,0.034482758620689655,1.8518518518518519,True,True,True,True,True,True,,False,,,,,,False,static,,,medium,,False,,,
107_bridges_tarjan,7,globalopt dce loop-unroll function-attrs strip-dead-prototypes lower-constant-intrinsics lower-matrix-intrinsics jump-threading reassociate correlated-propagation,0.0156595099997503,556816,242,29,480,7,4,18,29,11,18,0,0,11,0,7,1,100,54,34,46,0,0,4,4,0,10,1,2,0,2,0,0,0,1,0,0,0,0,0,1,40,18,0,0,19,6,321,105,0,6,0,39,0,14,8.344827586206897,0.6363636363636364,0.11983471074380166,0.05371900826446281,0.0743801652892562,0.034482758620689655,1.8518518518518519,True,True,True,True,True,True,,,,False,,False,,,,,,,,,,,
109_stable_marriage,3,globaldce sroa instcombine loop-unroll-and-jam div-rem-pairs dse adce argpromotion,0.09990803500113543,556800,336,71,689,4,2,7,71,22,49,0,1,23,0,4,0,139,66,32,54,0,0,0,0,0,18,3,2,0,2,0,0,0,1,0,0,0,0,0,0,93,7,0,0,24,4,417,175,0,6,0,86,0,8,4.732394366197183,0.6101190476190477,0.2113095238095238,0.06845238095238096,0.020833333333333332,0.0,2.106060606060606,True,True,True,True,True,False,False,False,,True,False,False,,,,,,,True,,,,True
109_stable_marriage,7,dce lowerswitch correlated-propagation,0.10749777499950142,560768,336,71,689,4,2,7,71,22,49,0,1,23,0,4,0,139,66,32,54,0,0,0,0,0,18,3,2,0,2,0,0,0,1,0,0,0,0,0,0,93,7,0,0,24,4,417,175,0,6,0,86,0,8,4.732394366197183,0.6101190476190477,0.2113095238095238,0.06845238095238096,0.020833333333333332,0.0,2.106060606060606,True,True,True,True,True,,True,,,,False,True,True,True,,0,,,,False,,,
10_coin_change,5,loop-unroll indvars licm indvars simplifycfg loop-vectorize loop-simplify loop-unroll lowerswitch,0.015075133000209462,556360,75,8,174,2,5,7,8,2,6,0,0,2,0,2,0,32,18,15,7,0,0,2,0,0,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,10,7,0,0,4,1,99,34,0,6,0,4,0,4,9.375,0.6666666666666666,0.10666666666666667,0.08,0.09333333333333334,0.0,1.7777777777777777,True,True,True,True,True,,,,,,,,,True,,3,False,,False,,,,
10_coin_change,9,correlated-propagation sroa lower-constant-intrinsics,0.013437370000247029,556344,75,8,174,2,5,7,8,2,6,0,0,2,0,2,0,32,18,15,7,0,0,2,0,0,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,10,7,0,0,4,1,99,34,0,6,0,4,0,4,9.375,0.6666666666666666,0.10666666666666667,0.08,0.09333333333333334,0.0,1.7777777777777777,True,True,True,True,True,,True,,False,,,True,,,,3,,medium,False,False,,False,
111_z_algorithm,6,partial-inliner annotation-remarks tailcallelim globaldce simplifycfg reassociate inline jump-threading inline consthoist mergereturn tailcallelim ipsccp licm slp-vectorizer,0.28676114799964125,560912,253,38,514,5,6,21,38,12,26,0,0,12,0,5,2,111,59,34,16,0,0,0,0,0,20,13,3,0,2,0,0,0,1,0,0,0,0,0,2,50,21,0,0,14,25,243,57,0,6,0,3,0,10,6.657894736842105,0.6719367588932806,0.15019762845849802,0.1422924901185771,0.08300395256916997,0.05263157894736842,1.88135593220339,True,True,True,True,True,False,,,False,True,,,,,,,,,,,,,
112_manacher_palindrome,2,partial-inliner mem2reg strip-dead-prototypes slp-vectorizer lowerswitch tailcallelim,0.5072336269986408,556456,288,38,552,4,7,17,38,12,26,0,0,12,0,4,2,122,58,37,22,0,0,3,0,0,20,15,10,3,3,0,0,0,1,0,0,0,0,0,2,50,17,0,0,16,31,266,77,0,6,0,10,0,8,7.578947368421052,0.625,0.13194444444444445,0.16666666666666666,0.059027777777777776,0.05263157894736842,2.103448275862069,True,True,True,True,True,,,False,,True,,,True,,,,,,,,,,
112_manacher_palindrome,4,deadargelim indvars div-rem-pairs instsimplify,0.5198483630010742,556440,288,38,552,4,7,17,38,12,26,0,0,12,0,4,2,122,58,37,22,0,0,3,0,0,20,15,10,3,3,0,0,0,1,0,0,0,0,0,2,50,17,0,0,16,31,266,77,0,6,0,10,0,8,7.578947368421052,0.625,0.13194444444444445,0.16666666666666666,0.059027777777777776,0.05263157894736842,2.103448275862069,True,True,True,True,True,,False,,,True,,,,,,,True,,,,,,
112_manacher_palindrome,5,memcpyopt gvn indvars loop-deletion,0.4979437960009818,556432,288,38,552,4,7,17,38,12,26,0,0,12,0,4,2,122,58,37,22,0,0,3,0,0,20,15,10,3,3,0,0,0,1,0,0,0,0,0,2,50,17,0,0,16,31,266,77,0,6,0,10,0,8,7.578947368421052,0.625,0.13194444444444445,0.16666666666666666,0.059027777777777776,0.05263157894736842,2.103448275862069,True,True,True,True,True,,,True,False,,,,,False,,,,,,,,,
112_manacher_palindrome,8,simplifycfg reassociate loop-simplify loop-deletion,0.48700807499881194,556432,288,38,552,4,7,17,38,12,26,0,0,12,0,4,2,122,58,37,22,0,0,3,0,0,20,15,10,3,3,0,0,0,1,0,0,0,0,0,2,50,17,0,0,16,31,266,77,0,6,0,10,0,8,7.578947368421052,0.625,0.13194444444444445,0.16666666666666666,0.059027777777777776,0.05263157894736842,2.103448275862069,True,True,True,True,True,,False,,False,False,,,,,static,,True,,,,False,,
115_ternary_search,3,mergereturn slp-vectorizer jump-threading,0.4116615040002216,556592,133,22,301,6,4,14,22,7,15,0,0,3,4,6,0,53,31,23,0,0,0,0,0,0,1,1,0,0,2,6,11,3,8,0,0,0,0,0,0,29,10,4,0,7,2,34,12,0,177,0,2,0,12,6.045454545454546,0.631578947368421,0.16541353383458646,0.015037593984962405,0.10526315789473684,0.0,1.7096774193548387,True,True,True,True,True,True,,,False,,,,False,,pic,,,small,,,,,
115_ternary_search,6,always-inline inline globaldce dse reassociate,0.38494662799894286,556592,133,22,301,6,4,14,22,7,15,0,0,3,4,6,0,53,31,23,0,0,0,0,0,0,1,1,0,0,2,6,11,3,8,0,0,0,0,0,0,29,10,4,0,7,2,34,12,0,177,0,2,0,12,6.045454545454546,0.631578947368421,0.16541353383458646,0.015037593984962405,0.10526315789473684,0.0,1.7096774193548387,True,True,True,True,True,False,,,,,,,,False,,,True,medium,,True,,,
115_ternary_search,9,ipsccp instcombine partial-inliner loop-simplify sroa globaldce ipsccp strip-dead-prototypes,0.415357222998864,556600,133,22,301,6,4,14,22,7,15,0,0,3,4,6,0,53,31,23,0,0,0,0,0,0,1,1,0,0,2,6,11,3,8,0,0,0,0,0,0,29,10,4,0,7,2,34,12,0,177,0,2,0,12,6.045454545454546,0.631578947368421,0.16541353383458646,0.015037593984962405,0.10526315789473684,0.0,1.7096774193548387,True,True,True,True,True,,True,,,False,,True,,False,static,0,,,False,,True,,
102_fnv_hash,1,inline lower-matrix-intrinsics early-cse mergereturn loop-rotate mem2reg,0.9539237059998413,556416,153,28,353,4,5,13,28,7,21,0,0,7,0,4,0,64,42,25,11,0,0,0,0,0,10,3,4,0,1,0,0,0,1,0,0,4,0,0,0,35,13,0,0,7,13,118,86,0,6,0,2,0,8,5.464285714285714,0.6928104575163399,0.1830065359477124,0.1111111111111111,0.08496732026143791,0.0,1.5238095238095237,True,True,True,True,True,False,,,,False,,,,,,,,small,False,,True,,
102_fnv_hash,2,loop-unroll tailcallelim loop-unroll jump-threading sccp annotation-remarks memcpyopt,0.85556977700071,556416,153,28,353,4,5,13,28,7,21,0,0,7,0,4,0,64,42,25,11,0,0,0,0,0,10,3,4,0,1,0,0,0,1,0,0,4,0,0,0,35,13,0,0,7,13,118,86,0,6,0,2,0,8,5.464285714285714,0.6928104575163399,0.1830065359477124,0.1111111111111111,0.08496732026143791,0.0,1.5238095238095237,True,True,True,True,True,False,,,,,,True,,,,,False,,,,,False,
102_fnv_hash,4,mem2reg mem2reg slp-vectorizer loop-unroll,0.8866500220010494,556584,153,28,353,4,5,13,28,7,21,0,0,7,0,4,0,64,42,25,11,0,0,0,0,0,10,3,4,0,1,0,0,0,1,0,0,4,0,0,0,35,13,0,0,7,13,118,86,0,6,0,2,0,8,5.464285714285714,0.6928104575163399,0.1830065359477124,0.1111111111111111,0.08496732026143791,0.0,1.5238095238095237,True,True,True,True,True,,,True,,False,,,,,,,,,,,True,,True
102_fnv_hash,6,globalopt lowerswitch mem2reg inline function-attrs elim-avail-extern reassociate sroa memcpyopt loop-rotate,0.9200561730012851,556416,153,28,353,4,5,13,28,7,21,0,0,7,0,4,0,64,42,25,11,0,0,0,0,0,10,3,4,0,1,0,0,0,1,0,0,4,0,0,0,35,13,0,0,7,13,118,86,0,6,0,2,0,8,5.464285714285714,0.6928104575163399,0.1830065359477124,0.1111111111111111,0.08496732026143791,0.0,1.5238095238095237,True,True,True,True,True,True,False,,,False,,,False,,,3,True,,True,,,,
102_fnv_hash,7,lowerswitch div-rem-pairs dse slp-vectorizer,0.8967229610007053,556424,153,28,353,4,5,13,28,7,21,0,0,7,0,4,0,64,42,25,11,0,0,0,0,0,10,3,4,0,1,0,0,0,1,0,0,4,0,0,0,35,13,0,0,7,13,118,86,0,6,0,2,0,8,5.464285714285714,0.6928104575163399,0.1830065359477124,0.1111111111111111,0.08496732026143791,0.0,1.5238095238095237,True,True,True,True,True,,,,,True,,True,False,,static,,True,,,,,,
102_fnv_hash,8,globalopt break-crit-edges lower-constant-intrinsics tailcallelim consthoist lower-matrix-intrinsics,0.9176004979999561,556424,153,28,353,4,5,13,28,7,21,0,0,7,0,4,0,64,42,25,11,0,0,0,0,0,10,3,4,0,1,0,0,0,1,0,0,4,0,0,0,35,13,0,0,7,13,118,86,0,6,0,2,0,8,5.464285714285714,0.6928104575163399,0.1830065359477124,0.1111111111111111,0.08496732026143791,0.0,1.5238095238095237,True,True,True,True,True,,,,,True,,,,,,,,small,False,,True,,
117_bitwise_gcd,5,reassociate gvn simplifycfg,0.4584694599998329,556416,102,26,265,3,2,5,26,9,17,0,0,9,0,3,0,43,33,17,0,0,0,0,0,0,7,2,2,0,1,0,0,0,1,5,1,0,1,4,0,35,5,0,0,9,2,53,111,0,6,0,2,0,6,3.923076923076923,0.7450980392156863,0.2549019607843137,0.10784313725490197,0.049019607843137254,0.0,1.303030303030303,True,True,True,True,True,,,,,,,True,True,True,,,False,,,,True,,
117_bitwise_gcd,8,always-inline dse licm loop-deletion div-rem-pairs mem2reg gvn,0.47352522800065344,556376,102,26,265,3,2,5,26,9,17,0,0,9,0,3,0,43,33,17,0,0,0,0,0,0,7,2,2,0,1,0,0,0,1,5,1,0,1,4,0,35,5,0,0,9,2,53,111,0,6,0,2,0,6,3.923076923076923,0.7450980392156863,0.2549019607843137,0.10784313725490197,0.049019607843137254,0.0,1.303030303030303,True,True,True,True,True,True,,,,,,,,,,,,,,,False,False,
116_expression_evaluator,4,globaldce mergereturn loop-deletion loop-rotate licm loop-simplify sroa instsimplify reassociate lower-constant-intrinsics,0.09876318500027992,560736,377,84,815,10,6,36,83,32,51,1,0,32,1,10,9,139,60,39,46,0,0,2,3,0,11,4,0,0,1,3,1,2,3,3,0,0,0,0,9,120,36,0,0,42,121,248,78,0,123,4,18,0,19,4.488095238095238,0.5278514588859416,0.22015915119363394,0.03978779840848806,0.09549071618037135,0.10714285714285714,2.316666666666667,True,True,True,True,True,,,False,False,,,,,,,,False,,,,,,
116_expression_evaluator,6,elim-avail-extern loop-vectorize tailcallelim,0.1006072590007534,560736,377,84,815,10,6,36,83,32,51,1,0,32,1,10,9,139,60,39,46,0,0,2,3,0,11,4,0,0,1,3,1,2,3,3,0,0,0,0,9,120,36,0,0,42,121,248,78,0,123,4,18,0,19,4.488095238095238,0.5278514588859416,0.22015915119363394,0.03978779840848806,0.09549071618037135,0.10714285714285714,2.316666666666667,True,True,True,True,True,,,,,,,,,,static,2,,,,,False,,
116_expression_evaluator,9,loop-simplify sccp dse,0.10231033799936995,560736,377,84,815,10,6,36,83,32,51,1,0,32,1,10,9,139,60,39,46,0,0,2,3,0,11,4,0,0,1,3,1,2,3,3,0,0,0,0,9,120,36,0,0,42,121,248,78,0,123,4,18,0,19,4.488095238095238,0.5278514588859416,0.22015915119363394,0.03978779840848806,0.09549071618037135,0.10714285714285714,2.316666666666667,True,True,True,True,True,True,,False,False,,,,,,pic,,,small,,,,,False
